A&B,Anode,Bnode,recordtime,Traveltime,Numtrips,Link Length,osm_class,Lanes,Speed,vol per lane,Volume
4243110842431111,42431108,42431111,40456.70833,6.66154,13,79.939,secondary,1,24.55,298,298
4243110842431107,42431108,42431107,40456.70833,10.5197,151,79.904,secondary,1,15.54,772,772
4243110742431108,42431107,42431108,40456.70833,21.5122,14,79.904,secondary,1,7.60,629,629
4243110742431106,42431107,42431106,40456.70833,10.6196,155,80.663,secondary,1,15.54,772,772
4243110642431107,42431106,42431107,40456.70833,10.6196,68,80.663,secondary,1,15.54,772,772
4243110642431104,42431106,42431104,40456.70833,10.491,175,79.686,secondary,1,15.54,772,772
4243110442431106,42431104,42431106,40456.70833,7.28542,85,79.686,secondary,1,22.37,474,474
4243110442431102,42431104,42431102,40456.70833,10.4383,177,79.286,secondary,1,15.54,772,772
4243129342425232,42431293,42425232,40456.70833,23.8425,149,138.602,secondary,1,11.89,772,772
4243110242431104,42431102,42431104,40456.70833,8.69861,89,79.286,secondary,1,18.64,685,685
4243110242431099,42431102,42431099,40456.70833,11.3278,179,86.042,secondary,1,15.54,772,772
4243115442429412,42431154,42429412,40456.70833,27.3921,16,81.071,unclassified,1,6.05,540,540
4243109942431102,42431099,42431102,40456.70833,5.46286,71,86.042,secondary,1,32.22,1736,1736
4243109942431096,42431099,42431096,40456.70833,11.3335,188,86.085,secondary,1,15.54,772,772
4243109642431099,42431096,42431099,40456.70833,17.6038,7,86.085,secondary,1,10.00,728,728
4243109642431094,42431096,42431094,40456.70833,10.4697,185,79.524,secondary,1,15.54,772,772
4243069442443534,42430694,42443534,40456.70833,109.125,32,274.37,residential,1,5.14,479,479
4243109442431096,42431094,42431096,40456.70833,21.0494,9,79.524,secondary,1,7.73,636,636
4243109442431089,42431094,42431089,40456.70833,7.2813,185,79.641,secondary,1,22.37,474,474
4282420542827489,42824205,42827489,40456.70833,26.6179,1,81.435,secondary,1,6.26,553,553
4243108942431094,42431089,42431094,40456.70833,23.6735,20,79.641,secondary,1,6.88,590,590
4243108942431078,42431089,42431078,40456.70833,7.26713,184,79.486,secondary,1,22.37,474,474
4243116542428458,42431165,42428458,40456.70833,39.2571,15,111.346,residential,1,5.80,524,524
4243107842431089,42431078,42431089,40456.70833,12.1208,9,79.486,secondary,1,13.41,786,786
